Xco,Yco,VertRan,SlopeAvg,SlopeMa25,SlopeMa10,DistMSoil,SoilDMVL,SoilDMWT,CanopyCAvg,CanopyCMax,CanopyCMin,TreeInfLiv,TreeInfAll,BasalArea,CrownI,LitterI,SnowC0423,WatTab100,WatTab90,WatTab50,WatTab10,WatTab0,WatTabRan,WatTabHMi,WatTabLMa,WatTem0527,WatTem0826,WatpH0527,WatpH0826,WatECo0527,WatECo0826,WatO0527,WatO0826,SoilVolWt,SoilLossOI,SoilpHH2O,SoilpHKCl,SoilCEC,SoilBaSat,HumusC,HumusN,HumusP,HumusS,HumusExAc,HumusCa,HumusMg,HumusK,HumusNa,HumusBa,HumusFe,HumusMn,HumusSr,HumusZn,HumusAl,NVas,NMos,NSph,NHep,NCry,NTot,DCA1,DCA2,DCA3,DCA4,SSK1,SSK2,SSK3,SSK4,SSK5,SSK6,SSK7,SSK8,SSK9,SSK10
957.4,102.5,0.235,0.335,0.148,0.288,0.218,0.610,0.584,0.728,0.462,0.767,0.834,0.639,0.114,0.702,1.000,0.000,0.378,0.325,0.194,0.194,0.181,0.641,0.322,0.441,0.635,0.589,0.748,0.918,0.569,0.585,0.410,0.421,0.672,0.386,0.564,0.600,0.669,0.807,0.515,0.648,0.505,0.486,0.155,0.656,0.376,0.310,0.156,0.425,0.431,0.721,0.500,0.297,0.332,0.727,0.435,0.137,0.000,0.297,0.491,3.34,1.26,1.41,0.94,1,0,0,0,0,0,0,0,0,0
953.5,124.8,0.425,0.506,0.377,0.305,0.248,0.733,0.704,0.535,0.394,0.374,0.016,0.040,0.534,0.532,0.716,0.607,0.661,0.655,0.581,0.579,0.574,0.719,0.642,0.723,0.494,0.637,0.141,0.153,0.673,0.554,0.715,0.446,0.389,0.784,0.129,0.107,0.439,0.028,0.762,0.279,0.621,0.114,0.868,0.127,0.232,0.548,0.228,0.380,0.886,0.129,0.236,0.385,0.875,0.388,0.237,0.400,0.000,0.247,0.208,1.15,2.56,1.51,0.51,1,0,0,0,0,0,0,0,0,0
956.5,124.6,0.091,0.221,0.000,0.127,0.542,0.844,0.829,0.449,0.462,0.429,0.000,0.000,0.534,0.291,0.562,1.000,0.628,0.581,0.507,0.488,0.318,0.878,0.526,0.581,0.451,0.621,0.214,0.168,0.596,0.497,0.441,0.458,0.468,0.732,0.060,0.075,0.399,0.090,0.750,0.408,0.914,0.221,0.751,0.205,0.317,0.578,0.227,0.426,0.857,0.162,0.337,0.442,0.659,0.433,0.164,0.400,0.190,0.247,0.239,0.79,2.19,1.41,0.73,1,0,0,0,0,0,0,0,0,0
959.5,124.5,0.255,0.414,0.272,0.127,0.401,0.859,0.848,0.675,0.536,0.653,0.252,0.173,0.757,0.569,0.185,0.966,0.503,0.467,0.391,0.359,0.081,0.841,0.439,0.376,0.458,0.573,0.352,0.217,0.700,0.052,0.410,0.628,0.568,0.665,0.210,0.206,0.509,0.407,0.515,0.509,0.949,0.278,0.534,0.427,0.382,0.374,0.198,0.434,0.649,0.181,0.432,0.456,0.527,0.342,0.085,0.526,0.190,0.247,0.176,0.95,2.05,1.47,0.98,1,0,0,0,0,0,0,0,0,0
953.4,140.8,0.294,0.456,0.181,0.279,0.448,0.736,0.706,0.693,0.536,0.653,0.660,0.514,0.464,0.518,0.372,0.607,0.673,0.655,0.600,0.579,0.579,0.733,0.586,0.719,0.408,0.589,0.184,0.074,0.754,0.579,0.558,0.483,0.383,0.814,0.086,0.078,0.400,0.064,0.662,0.491,0.922,0.225,0.784,0.190,0.219,0.484,0.150,0.410,0.814,0.037,0.338,0.324,0.722,0.128,0.085,0.526,0.000,0.193,0.000,0.83,2.34,1.92,0.35,1,0,0,0,0,0,0,0,0,0
956.4,140.6,0.364,0.294,0.486,0.350,0.360,0.573,0.521,0.693,0.536,0.710,0.982,0.936,0.498,0.527,0.527,0.896,0.682,0.673,0.621,0.616,0.606,0.719,0.684,0.871,0.387,0.589,0.192,0.285,0.442,0.316,0.623,0.408,0.659,0.899,0.030,0.098,0.259,0.152,0.724,0.563,0.878,0.000,0.614,0.189,0.241,0.597,0.076,0.212,0.549,0.129,0.238,0.352,0.522,0.241,0.494,0.270,0.514,0.540,0.329,2.58,3.07,1.51,2.00,1,0,0,0,0,0,0,0,0,0
953.8,148.8,0.294,0.388,0.213,0.154,0.248,0.683,0.655,0.587,0.462,0.596,0.481,0.275,0.606,0.648,0.584,0.218,0.553,0.494,0.391,0.352,0.321,0.775,0.519,0.554,0.473,0.488,0.234,0.210,0.674,0.413,0.410,0.382,0.578,0.637,0.194,0.182,0.329,0.052,0.486,0.654,0.623,0.217,0.778,0.166,0.141,0.252,0.085,0.531,0.755,0.050,0.304,0.385,0.864,0.000,0.085,0.769,0.000,0.297,0.000,0.86,1.88,2.41,0.65,1,0,0,0,0,0,0,0,0,0
1136.9,112.1,0.552,0.561,0.466,0.420,0.337,0.401,0.361,0.466,0.272,0.596,0.252,0.125,0.718,0.331,0.000,0.016,0.235,0.283,0.308,0.321,0.359,0.276,0.360,0.446,0.670,0.903,0.740,0.693,0.472,0.537,0.592,0.327,0.598,0.400,0.304,0.308,0.548,0.598,0.579,0.681,0.839,0.252,0.414,0.519,0.364,0.502,0.426,0.494,0.574,0.412,0.488,0.464,0.485,0.293,0.164,0.649,0.000,0.297,0.176,0.64,1.11,2.67,1.46,0,1,0,0,0,0,0,0,0,0
1140.2,106.3,0.505,0.500,0.506,0.559,0.025,0.388,0.306,0.587,0.394,0.596,0.334,0.889,0.680,0.750,0.607,0.000,0.586,0.627,0.622,0.625,0.634,0.499,0.526,0.610,0.607,0.838,0.000,0.147,0.834,0.413,0.558,0.458,0.598,0.797,0.052,0.098,0.395,0.187,0.767,0.381,0.849,0.212,0.648,0.258,0.357,0.753,0.276,0.285,0.762,0.170,0.359,0.450,0.513,0.342,0.603,0.400,0.324,0.574,0.413,1.24,2.97,1.22,1.23,0,1,0,0,0,0,0,0,0,0
1138.6,107.4,0.615,0.564,0.423,0.367,0.337,0.513,0.457,0.982,0.612,0.883,0.795,0.691,0.680,0.800,0.742,0.000,0.518,0.552,0.569,0.603,0.613,0.396,0.538,0.557,0.884,0.770,0.100,0.082,0.570,0.447,0.517,0.408,0.514,0.796,0.161,0.166,0.458,0.245,0.911,0.397,0.746,0.414,0.628,0.319,0.339,0.784,0.430,0.405,0.884,0.135,0.415,0.384,0.622,0.433,0.435,0.270,0.324,0.429,0.357,1.25,2.75,1.37,0.85,0,1,0,0,0,0,0,0,0,0
